contract_id,idweb,notice_id,buyer_key,buyer_key_type,buyer_name_raw,buyer_name_normalized,buyer_siren_clean,buyer_siret_clean,buyer_siren_enriched,segment,cpv_clean,cpv_div2,cpv_class4,cpv_category5,cpv_is_missing,cpv_is_generic,objet,objet_clean,source_date,source_date_source,declared_duration_months,duration_imputed_flag,estimated_end_date,recurrence_window_close,eligible_for_linkage,censoring_date,censoring_duration_months,amount_clean,type_procedure,type_marche,raw_trace_id
BOAMP:15-30947,15-30947,15-30947,NAME:smictom vallee authion,NAME,SMICTOM de la Vallée de l'Authion,smictom vallee authion,,,,Software & Applications,48000000,48,4800,48000,False,True,"Acquisition de systèmes d'identification embarqués, location des solutions logicielles et maintenance associée (matériels et logiciels), pour la collecte des déchets ménagers à Beaufort-en-Vallée",acquisition de systemes d identification embarques location des solutions logicielles et maintenance associee materiels et logiciels pour la collecte des dechets menagers a beaufort en vallee,2015-03-02,publication_date,12.0,False,2016-03-02,2016-09-02,True,2026-07-09,136.24,150000.0,OUVERT,SERVICES,BOAMP:15-30947
BOAMP:15-31464,15-31464,15-31464,SIREN:285300018,SIREN_ENRICHED,Sdis de la Mayenne,sdis mayenne,,,285300018,Unknown,,,,,True,False,fourniture de petits materiels d'incendie et de secours et pieces detachees pour le sdis 53,fourniture de petits materiels d incendie et de secours et pieces detachees pour le sdis 53,2015-03-02,publication_date,36.0,False,2018-03-02,2018-09-02,True,2026-07-09,136.24,,OUVERT,FOURNITURES,BOAMP:15-31464
BOAMP:15-31513,15-31513,15-31513,SIREN:214401432,SIREN_ENRICHED,Ville de Rezé,ville reze,,,214401432,Unknown,38720000,38,3872,38720,False,False,fourniture et pose d'horodateurs et de bornes d'arret minute sur le territoire de la ville de Rezé. Exploitation des horodateurs installés sur le territoire de la ville à partir du 1er janvier 2016,fourniture et pose d horodateurs et de bornes d arret minute sur le territoire de la ville de reze exploitation des horodateurs installes sur le territoire de la ville a partir du 1er janvier 2016,2015-03-02,publication_date,48.0,False,2019-03-02,2019-09-02,True,2026-07-09,136.24,,OUVERT,FOURNITURES,BOAMP:15-31513
BOAMP:15-20937,15-20937,15-20937,SIREN:214401093,SIREN_ENRICHED,Ville de Nantes,ville nantes,,,214401093,Unknown,44512000,44,4451,44512,False,False,"fourniture d'outillages, d'equipements techniques et de consommables divers à Nantes",fourniture d outillages d equipements techniques et de consommables divers a nantes,2015-03-03,publication_date,48.0,False,2019-03-03,2019-09-03,True,2026-07-09,136.2,,OUVERT,FOURNITURES,BOAMP:15-20937
BOAMP:15-32168,15-32168,15-32168,SIREN:234400034,SIREN_ENRICHED,Conseil régional des Pays de la Loire,conseil regional pays loire,,,234400034,IT Services & Consulting,72700000,72,7270,72700,False,False,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",maintenance surveillance assistance a l exploitation et evolutions des infrastructures de reseaux lan et wifi de la region pays de la loire,2015-07-21,linked_attribution_date,24.0,False,2017-07-21,2018-01-21,True,2026-07-09,131.6,,OUVERT,SERVICES,BOAMP:15-32168
BOAMP:15-31641,15-31641,15-31641,SIREN:784301525,SIREN_ENRICHED,IRCANTEC,ircantec,,,784301525,Data & AI,,,,,True,False,création d'un dispositif d'information plurimédia de l'ircantec à Angers,creation d un dispositif d information plurimedia de l ircantec a angers,2015-03-04,publication_date,12.0,False,2016-03-04,2016-09-04,True,2026-07-09,136.17,800000.0,OUVERT,FOURNITURES,BOAMP:15-31641
BOAMP:15-31797,15-31797,15-31797,NAME:acoss,NAME,ACOSS,acoss,,,,IT Services & Consulting,72500000,72,7250,72500,False,False,acquisition d'une prestation de maintenance et d'assistance technique d'une solution permettant la rationalisation des accès aux machines sensibles et equipements de sécurité à Montreuil,acquisition d une prestation de maintenance et d assistance technique d une solution permettant la rationalisation des acces aux machines sensibles et equipements de securite a montreuil,2015-03-04,publication_date,12.0,False,2016-03-04,2016-09-04,True,2026-07-09,136.17,,OUVERT,SERVICES,BOAMP:15-31797
BOAMP:15-33241,15-33241,15-33241,SIREN:264400136,SIREN_ENRICHED,CHU de Nantes,chu nantes,,,264400136,Telecom & Networks,32510000,32,3251,32510,False,False,acquisition et maintenance d'un système d'appel malade pour la maison de pirmil sur le site de l'hôpital Saint Jacques à Nantes,acquisition et maintenance d un systeme d appel malade pour la maison de pirmil sur le site de l hopital saint jacques a nantes,2015-09-11,linked_attribution_date,48.0,True,2019-09-11,2020-03-11,True,2026-07-09,129.89,,OUVERT,FOURNITURES,BOAMP:15-33241
BOAMP:15-33752,15-33752,15-33752,SIREN:234400034,SIREN_ENRICHED,Conseil régional des Pays de la Loire,conseil regional pays loire,,,234400034,Cybersecurity,72310000,72,7231,72310,False,False,"gestion des communautés web, à Nantes",gestion des communautes web a nantes,2015-06-29,linked_attribution_date,48.0,True,2019-06-29,2019-12-29,True,2026-07-09,132.33,,OUVERT,SERVICES,BOAMP:15-33752
BOAMP:15-34520,15-34520,15-34520,NAME:chu angers,NAME,CHU d'Angers,chu angers,,,,Telecom & Networks,32360000,32,3236,32360,False,False,"Fourniture de pièces détachées et accessoires pour appel-malades, interphonie et matériels assimilés pour le CHU à Angers",fourniture de pieces detachees et accessoires pour appel malades interphonie et materiels assimiles pour le chu a angers,2015-03-06,publication_date,48.0,True,2019-03-06,2019-09-06,True,2026-07-09,136.1,,PROCEDURE_ADAPTE,FOURNITURES,BOAMP:15-34520
